,DOT_ID_Reporting_Airline,Flight_Number_Reporting_Airline,rescheduled_departure_ga,Delay_Reductions,NewArrival,NewDeparture
18405,19805,2035,749.1481875073326,-1.1481875073326644,1505,1228
18406,19790,2236,715.7626705393627,128.23732946063723,1905,1404
18407,19393,2245,1651.793839757741,-1.793839757740907,3010,2730
18408,19977,1535,2131.116542589618,133.88345741038228,4109,3745
18409,19790,2414,1325.1864817930257,32.813518206974386,2740,2238
18410,19977,2219,106.27549155676209,101.72450844323791,1017,328
18411,19805,1919,601.2626412115932,24.737358788406787,1751,1026
18412,19393,2641,1636.0482613385464,157.9517386614537,3314,2954
18413,20397,5181,1223.6865712445533,66.31342875544664,2327,2130
18414,19790,804,645.6375038346631,-0.6375038346630646,2323,1045
18415,20416,3381,2125.289379975663,77.71062002433699,4005,3643
18416,20397,5148,1546.5671161620576,-1.5671161620574758,2820,2545
18417,19790,2759,1829.9681863111005,55.03181368889966,3959,3125
18418,20398,4104,814.0617720608901,15.938227939109838,1836,1350
18419,20409,562,603.61427421384,-1.6142742138399855,1659,1002
18420,19393,908,1921.4600743636186,39.53992563638155,3431,3241
18421,20398,3720,1316.651349068874,28.348650931126006,2547,2225
18422,20397,5550,1940.0725800010332,158.92741999896683,3644,3459
18423,19690,241,1241.7455349231748,31.254465076825273,2250,2113
18424,19805,1372,1831.8455018704751,127.15449812952481,3405,3239
18425,19977,349,1210.8578164247426,-0.857816424742643,3026,2010
18426,19393,2236,1805.6894716800869,23.310528319913125,3359,3029
18427,19393,4934,751.2110386528267,11.788961347173366,1918,1243
18428,20368,1843,1742.7312739995798,32.268726000420195,3227,2935
18429,19393,4256,1754.8978328334438,18.102167166556193,3933,2933
18430,20304,3780,536.2478963930176,143.75210360698236,1253,1120
18431,19393,3692,1918.591149256826,12.408850743174108,3421,3211
18432,19805,1093,835.9732758236745,12.026724176325489,2552,1408
18433,19930,637,931.4478679640894,-1.4478679640893333,2034,1530
18434,20363,5288,1618.1296021486287,292.8703978513713,3344,3151
18435,19805,1100,1546.580934435933,30.419065564066965,2945,2617
18436,19805,890,1857.3699689598056,-1.3699689598056528,3916,3056
18437,19790,2377,1356.7704408785582,20.2295591214417,2601,2257
18438,19930,185,1044.8845690734897,31.11543092651027,2105,1756
18439,20304,3826,1733.0174950590908,68.98250494090907,3156,3002
18440,19805,340,1308.8145496867317,56.18545031326839,2508,2245
18441,19805,1977,1319.7179434819943,-0.717943481994223,2828,2159
18442,20304,3664,1427.2841495696632,15.715850430336888,2538,2403
18443,19805,2885,738.4067922584004,287.59320774159954,1953,1706
18444,19690,386,1640.7194623257622,27.28053767423793,2909,2748
